Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2012-05-01,1344.25,86.53,83.04,2.0226,106.3,109.5,-0.729,120.21971844436118,4495.163427561838,0.1519430051813471,2.948250728862974,2.2974055944055944
2012-06-01,1480.88,84.96,81.63,2.0095,80.4,116.3,-0.302,118.43598170852454,4865.35335689046,0.1321243523316062,2.594460641399417,2.4183216783216785
2012-07-01,1673.75,88.06,82.64,2.0567,67.4,102.7,-0.092,119.5409374413222,5024.006183745584,0.1453367875647668,2.2111880466472305,2.0555734265734267
2012-08-01,1754.37,96.47,81.21,2.0293,77.8,97.9,0.035,117.50363009401312,5552.84893992933,0.1849740932642487,1.857397959183674,1.6928251748251748
2012-09-01,1591.88,92.19,79.94,2.0257,114.1,83.8,0.163,119.36707521662228,5923.038869257952,0.6606217616580311,1.5330903790087465,1.4026265734265733
2012-10-01,1550.88,86.24,79.92,2.0309,157.8,70.8,-0.158,118.29387721289042,6081.691696113075,0.6077720207253887,1.238265306122449,1.1366111888111887
2012-11-01,1440.63,88.91,80.15,2.1361,170.6,60.2,-0.017,118.83073373707263,6240.344522968198,0.5417098445595856,0.9729227405247812,0.918962237762238
2012-12-01,1408.5,91.82,79.77,2.0485,194.0,42.6,0.105,116.28760360652012,5817.270318021203,0.4624352331606217,0.8255102040816328,0.7738629370629371
2013-01-01,1470.63,97.49,79.21,1.9902,207.1,32.2,-0.212,115.44867822873258,4661.925795053005,0.1946113989637305,0.7576530612244898,0.9095244755244754
2013-02-01,1448.75,92.05,81.95,1.9795,196.6,37.0,0.598,114.11545741388773,4475.448763250884,0.1643385146804835,1.0607142857142855,1.061111888111888
2013-03-01,1406.88,97.23,83.22,2.0235,183.6,60.4,0.608,112.1861273838172,4661.925795053005,0.1383903281519861,1.818367346938776,1.515874125874126
